name,meal_type,calories,protein_g,carbs_g,fat_g,food_type,cuisine,is_healthy,tags
Paneer Bhurji,dinner,585,13.1,69.3,12.4,vegetarian,south_indian,1,balanced|beginner
Roasted Chana,snack,204,7.2,21.8,7.9,vegan,north_indian,1,muscle_gain|high_protein
Boiled Eggs,snack,187,6.3,21.5,6.7,non_vegetarian,north_indian,1,weight_loss|light
Corn Chaat,snack,274,5.9,31.6,11.3,vegan,south_indian,0,improve_stamina|carb_rich
Paneer Cubes,snack,208,5.8,21.0,9.4,vegetarian,north_indian,1,balanced|beginner
Oats with Milk,breakfast,335,22.4,30.2,10.9,vegetarian,north_indian,1,muscle_gain|high_protein
Vegetable Khichdi,lunch,611,21.2,51.0,23.6,vegetarian,north_indian,0,balanced|beginner
Fruit Bowl,breakfast,187,3.5,21.5,8.0,vegan,south_indian,1,improve_stamina|carb_rich
Oats with Milk,breakfast,194,4.4,26.4,6.1,vegetarian,south_indian,1,weight_loss|light
Buttermilk,snack,138,6.9,18.3,2.9,vegetarian,north_indian,1,improve_stamina|carb_rich
Vegetable Poha,breakfast,443,21.2,42.8,6.6,vegetarian,mixed,1,muscle_gain|high_protein
Roti Sabji,dinner,585,35.0,53.2,13.9,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Stir Fry,lunch,596,19.8,65.1,17.1,vegan,mixed,1,muscle_gain|high_protein
Tofu Curry,dinner,698,28.6,99.1,6.8,vegan,south_indian,0,weight_loss|light
Sprouts Salad,snack,174,3.0,22.9,6.3,vegan,south_indian,1,balanced|beginner
Paneer Bhurji,dinner,681,19.7,75.2,16.4,vegetarian,north_indian,0,weight_loss|light
Chicken Curry Rice,lunch,473,30.3,53.4,5.9,non_vegetarian,mixed,1,balanced|beginner
Sprouts Salad,snack,234,12.1,17.8,10.7,vegan,mixed,1,muscle_gain|high_protein
Buttermilk,snack,165,9.8,14.6,6.0,vegetarian,north_indian,1,weight_loss|light
Vegetable Khichdi,lunch,372,19.8,36.7,8.1,vegetarian,north_indian,1,weight_loss|light
Peanut Chaat,snack,192,13.5,16.9,6.1,vegetarian,south_indian,1,weight_loss|light
Paneer Roti,lunch,557,40.6,45.1,5.5,vegetarian,mixed,1,muscle_gain|high_protein
Fruit Bowl,breakfast,326,8.8,43.9,9.9,vegan,north_indian,1,weight_loss|light
Fruit Bowl,breakfast,396,11.9,53.6,11.4,vegan,north_indian,1,weight_loss|light
Vegetable Khichdi,lunch,560,6.2,26.5,20.2,vegetarian,south_indian,0,improve_stamina|carb_rich
Roasted Chana,snack,108,11.2,9.8,1.7,vegan,south_indian,1,muscle_gain|high_protein
Egg Curry,dinner,485,21.8,60.6,13.7,non_vegetarian,south_indian,1,muscle_gain|high_protein
Roasted Chana,snack,288,8.4,22.4,11.8,vegan,mixed,0,improve_stamina|carb_rich
Peanut Chaat,snack,154,12.7,15.7,3.1,vegetarian,south_indian,1,weight_loss|light
Sprouts Salad,snack,271,18.8,23.3,9.0,vegan,north_indian,1,muscle_gain|high_protein
Egg Curry,dinner,425,7.2,46.0,5.5,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Protein Shake,snack,275,19.9,33.7,4.7,vegetarian,north_indian,0,improve_stamina|carb_rich
