name,meal_type,calories,protein_g,carbs_g,fat_g,food_type,cuisine,is_healthy,tags
Paneer Bhurji 0,dinner,585,13.1,69.3,12.4,vegetarian,south_indian,0,balanced|beginner
Roasted Chana 1,snack,204,18.7,56.6,20.6,vegan,north_indian,0,muscle_gain|high_protein
Boiled Eggs 2,snack,187,18.2,61.8,19.3,non_vegetarian,gujarati,0,weight_loss|light
Corn Chaat 3,snack,274,12.6,67.5,24.2,vegan,south_indian,0,improve_stamina|carb_rich
Paneer Cubes 4,snack,208,15.1,54.8,24.4,vegetarian,bengali,0,balanced|beginner
Oats with Milk 5,breakfast,335,30.8,41.6,15.0,vegetarian,north_indian,1,muscle_gain|high_protein
Vegetable Khichdi 6,lunch,611,11.0,26.4,12.2,vegetarian,bengali,0,balanced|beginner
Fruit Bowl 7,breakfast,187,9.8,60.5,22.5,vegan,kerala,0,improve_stamina|carb_rich
Oats with Milk 8,breakfast,194,6.8,40.5,9.4,vegetarian,south_indian,1,weight_loss|light
Buttermilk 9,snack,138,10.7,28.4,4.5,vegetarian,rajasthani,1,improve_stamina|carb_rich
Vegetable Poha 10,breakfast,443,21.2,42.8,6.6,vegetarian,hyderabadi,1,muscle_gain|high_protein
Roti Sabji 11,dinner,585,35.0,53.2,13.9,vegetarian,punjabi,0,muscle_gain|high_protein
Tofu Stir Fry 12,lunch,596,19.8,65.1,17.1,vegan,hyderabadi,0,muscle_gain|high_protein
Tofu Curry 13,dinner,698,13.4,46.4,3.2,vegan,south_indian,0,weight_loss|light
Sprouts Salad 14,snack,174,5.6,43.4,11.9,vegan,south_indian,1,balanced|beginner
Paneer Bhurji 15,dinner,681,19.7,75.2,16.4,vegetarian,gujarati,0,weight_loss|light
Chicken Curry Rice 16,lunch,473,17.5,30.8,3.4,non_vegetarian,mixed,1,balanced|beginner
Sprouts Salad 17,snack,234,25.2,37.1,22.3,vegan,maharashtrian,0,muscle_gain|high_protein
Buttermilk 18,snack,165,16.0,24.0,9.9,vegetarian,rajasthani,1,weight_loss|light
Vegetable Khichdi 19,lunch,372,19.8,36.7,8.1,vegetarian,gujarati,1,weight_loss|light
Peanut Chaat 20,snack,192,18.2,22.7,8.2,vegetarian,kerala,1,weight_loss|light
Paneer Roti 21,lunch,557,40.6,45.1,5.5,vegetarian,mixed,0,muscle_gain|high_protein
Fruit Bowl 22,breakfast,326,12.5,62.0,14.0,vegan,north_indian,1,weight_loss|light
Fruit Bowl 23,breakfast,396,15.2,68.4,14.5,vegan,north_indian,1,weight_loss|light
Vegetable Khichdi 24,lunch,560,6.2,26.5,20.2,vegetarian,kerala,0,improve_stamina|carb_rich
Roasted Chana 25,snack,108,43.4,37.8,6.6,vegan,kerala,1,muscle_gain|high_protein
Egg Curry 26,dinner,485,21.8,60.6,13.7,non_vegetarian,kerala,1,muscle_gain|high_protein
Roasted Chana 27,snack,288,8.4,22.4,11.8,vegan,hyderabadi,1,improve_stamina|carb_rich
Peanut Chaat 28,snack,154,19.2,23.6,4.7,vegetarian,kerala,1,weight_loss|light
Sprouts Salad 29,snack,271,35.5,44.1,17.0,vegan,north_indian,1,muscle_gain|high_protein
Egg Curry 30,dinner,425,7.2,46.0,5.5,non_vegetarian,bengali,1,improve_stamina|carb_rich
Protein Shake 31,snack,275,19.9,33.7,4.7,vegetarian,north_indian,1,improve_stamina|carb_rich
Hyderabadi Biryani 32,lunch,635,14.0,52.2,12.1,non_vegetarian,hyderabadi,0,balanced|beginner
Boiled Eggs 33,snack,98,16.7,48.2,17.2,non_vegetarian,bengali,1,improve_stamina|carb_rich
Tofu Curry 34,dinner,449,5.1,78.6,6.3,vegan,bengali,1,balanced|beginner
Dal Tadka 35,dinner,466,6.8,26.0,4.4,vegetarian,gujarati,1,balanced|beginner
Paneer Bhurji 36,dinner,554,13.3,38.1,21.5,vegetarian,hyderabadi,0,weight_loss|light
Fruit Salad 37,snack,265,7.7,47.7,22.9,vegan,north_indian,0,weight_loss|light
Upma 38,breakfast,405,19.6,51.7,7.8,vegetarian,maharashtrian,1,balanced|beginner
Paneer Sandwich 39,breakfast,277,18.0,58.8,22.1,vegetarian,gujarati,0,weight_loss|light
Protein Shake 40,snack,193,18.9,65.2,18.5,vegetarian,south_indian,0,improve_stamina|carb_rich
Corn Chaat 41,snack,250,17.9,68.6,4.9,vegan,hyderabadi,1,weight_loss|light
Fruit Salad 42,snack,203,17.2,40.4,6.0,vegan,north_indian,1,balanced|beginner
Kadhi Rice 43,lunch,602,6.5,25.8,10.9,vegetarian,punjabi,0,weight_loss|light
Paneer Cubes 44,snack,217,19.6,67.2,23.4,vegetarian,rajasthani,0,muscle_gain|high_protein
Mixed Veg Curry 45,dinner,630,17.2,51.2,22.3,vegetarian,rajasthani,0,weight_loss|light
Tofu Scramble 46,breakfast,205,28.6,77.6,23.2,vegan,hyderabadi,0,muscle_gain|high_protein
Buttermilk 47,snack,122,14.3,78.7,20.0,vegetarian,mixed,0,improve_stamina|carb_rich
Paneer Sandwich 48,breakfast,276,15.7,39.9,24.4,vegetarian,gujarati,0,improve_stamina|carb_rich
Pav Bhaji 49,lunch,507,14.2,78.9,7.2,vegetarian,mixed,0,improve_stamina|carb_rich
Paneer Cubes 50,snack,157,12.4,22.1,8.2,vegetarian,punjabi,1,balanced|beginner
Thepla 51,breakfast,358,7.8,27.3,24.8,vegetarian,gujarati,0,balanced|beginner
Roti Sabji 52,dinner,396,5.8,51.9,9.8,vegetarian,south_indian,1,balanced|beginner
Roasted Chana 53,snack,278,8.2,62.6,4.8,vegan,punjabi,1,improve_stamina|carb_rich
Fruit Salad 54,snack,230,10.6,62.7,19.9,vegan,punjabi,0,improve_stamina|carb_rich
Protein Shake 55,snack,116,15.8,48.2,14.8,vegetarian,south_indian,1,weight_loss|light
Rajma Chawal 56,lunch,657,16.6,43.7,23.2,vegetarian,north_indian,0,balanced|beginner
Upma 57,breakfast,433,44.4,65.9,4.5,vegetarian,north_indian,1,muscle_gain|high_protein
Egg Curry 58,dinner,510,16.8,29.5,21.4,non_vegetarian,rajasthani,0,balanced|beginner
Rajma Chawal 59,lunch,481,16.7,37.6,13.2,vegetarian,punjabi,1,balanced|beginner
Paneer Roti 60,lunch,471,17.2,60.4,5.7,vegetarian,rajasthani,1,weight_loss|light
Fish Curry Rice 61,lunch,388,7.5,33.8,20.9,non_vegetarian,gujarati,0,balanced|beginner
Thepla 62,breakfast,367,14.0,48.1,17.4,vegetarian,punjabi,1,weight_loss|light
Roti Sabji 63,dinner,380,16.6,26.3,20.3,vegetarian,rajasthani,0,weight_loss|light
Protein Shake 64,snack,139,11.1,29.5,24.9,vegetarian,mixed,0,improve_stamina|carb_rich
Sprouts Salad 65,snack,92,12.6,65.3,8.7,vegan,rajasthani,1,improve_stamina|carb_rich
Chicken Curry Rice 66,lunch,543,18.1,66.6,18.1,non_vegetarian,punjabi,0,weight_loss|light
Idli Sambar 67,breakfast,363,5.3,64.8,14.6,vegetarian,mixed,1,improve_stamina|carb_rich
Tofu Stir Fry 68,lunch,525,34.1,29.5,19.7,vegan,kerala,0,muscle_gain|high_protein
Boiled Eggs 69,snack,102,18.1,61.2,16.7,non_vegetarian,south_indian,1,improve_stamina|carb_rich
Fish Curry Rice 70,lunch,696,12.8,38.0,11.5,non_vegetarian,kerala,0,weight_loss|light
Vegetable Soup 71,dinner,407,8.0,47.2,6.5,vegan,rajasthani,1,improve_stamina|carb_rich
Chicken Curry Rice 72,lunch,539,15.3,20.5,16.5,non_vegetarian,rajasthani,0,improve_stamina|carb_rich
Corn Chaat 73,snack,177,5.5,49.4,4.2,vegan,punjabi,1,balanced|beginner
Vegetable Poha 74,breakfast,324,17.5,56.8,7.5,vegetarian,kerala,1,balanced|beginner
Sprouts Salad 75,snack,296,11.4,79.4,8.8,vegan,maharashtrian,1,balanced|beginner
Vegetable Khichdi 76,lunch,419,43.8,30.3,3.5,vegetarian,maharashtrian,1,muscle_gain|high_protein
Oats with Milk 77,breakfast,183,17.7,31.0,23.5,vegetarian,kerala,0,balanced|beginner
Rajma Chawal 78,lunch,375,11.2,67.5,22.0,vegetarian,bengali,0,balanced|beginner
Boiled Eggs 79,snack,202,43.5,65.5,23.7,non_vegetarian,south_indian,0,muscle_gain|high_protein
Buttermilk 80,snack,141,17.2,32.1,16.9,vegetarian,hyderabadi,1,improve_stamina|carb_rich
Paneer Sandwich 81,breakfast,217,5.3,40.2,6.3,vegetarian,hyderabadi,1,improve_stamina|carb_rich
Buttermilk 82,snack,224,29.9,68.8,10.3,vegetarian,kerala,1,muscle_gain|high_protein
Vegetable Poha 83,breakfast,331,14.2,65.6,21.1,vegetarian,rajasthani,0,improve_stamina|carb_rich
Dal Tadka 84,dinner,699,28.9,74.1,22.9,vegetarian,mixed,0,muscle_gain|high_protein
Dal Tadka 85,dinner,529,19.2,52.1,3.3,vegetarian,north_indian,0,muscle_gain|high_protein
Tofu Scramble 86,breakfast,347,22.5,70.1,7.8,vegan,mixed,1,muscle_gain|high_protein
Vegetable Soup 87,dinner,376,18.1,66.8,15.5,vegan,north_indian,1,muscle_gain|high_protein
Oats with Milk 88,breakfast,397,7.9,59.5,8.1,vegetarian,mixed,1,improve_stamina|carb_rich
Dal Rice 89,lunch,482,10.2,29.5,22.2,vegetarian,north_indian,0,weight_loss|light
Paneer Sandwich 90,breakfast,236,23.1,34.1,5.2,vegetarian,south_indian,1,muscle_gain|high_protein
Rajma Chawal 91,lunch,517,27.2,52.3,3.2,vegetarian,maharashtrian,0,muscle_gain|high_protein
Chicken Curry Rice 92,lunch,393,13.2,79.6,17.7,non_vegetarian,mixed,1,improve_stamina|carb_rich
Dal Rice 93,lunch,424,11.8,22.7,22.6,vegetarian,south_indian,0,weight_loss|light
